Site,Sample,Date,Rabigus,Stenus,Meronera,Acrotona,Xantholinus,Harpalus faunus,Cratacanthus dubius,Cicindelidia punctulata,Hyperapis undulata,Brachiacantha ursina,Coleomegilla maculata,Cycloneda munda,Propylea quatuordecimpunctata,Harmonia axyridis,Hippodamia variegata
Dix,C22,8/11/2020,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Dix,C33,9/7/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Dix,C1,7/1/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rec,C7,7/1/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rec,C23,8/11/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Allerton,C26,8/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dix,C27,8/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Allerton,C29,8/26/2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Rec,C32,8/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dix,C15,7/27/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Allerton,C35,9/7/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dix,C39,9/23/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
