Sample,Date,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Araneae,Thysanoptera,Collembola,Psocodea,Acarina,Neuroptera
P1,7/1/2020,Dix,1,2,0,0,0,0,2,0,4,0,1,0
P2,7/1/2020,Dix,1,3,2,0,0,0,1,0,2,0,0,0
P5,7/1/2020,Allerton,6,2,1,0,0,0,4,0,9,0,0,0
P6,7/1/2020,Allerton,4,1,1,1,0,0,5,0,9,0,1,0
P7,7/15/2020,Dix,0,7,4,0,0,0,1,1,2,0,1,0
P8,7/15/2020,Dix,1,9,2,0,0,0,3,0,0,0,0,0
P9,7/15/2020,Allerton,3,1,6,2,0,0,1,0,2,0,0,0
P10,7/15/2020,Allerton,3,13,3,0,0,0,4,1,11,0,1,0
P11,7/15/2020,Rec,0,16,4,0,0,0,2,0,1,0,1,0
P12,7/15/2020,Rec,1,8,1,0,0,0,0,1,3,0,0,0
P13,7/27/2020,Dix,1,2,5,0,0,0,1,0,1,0,0,0
P14,7/27/2020,Dix,0,11,10,0,0,0,2,0,5,0,2,0
P15,7/27/2020,Allerton,4,5,10,2,0,0,12,0,14,0,1,0
P16,7/27/2020,Allerton,0,4,3,1,0,0,5,0,0,0,1,0
P17,7/27/2020,Rec,0,46,2,4,0,0,2,0,0,0,0,0
P18,7/27/2020,Rec,1,1,0,0,0,0,0,0,1,0,0,0
P19,8/11/2020,Dix,2,6,0,0,0,0,6,0,0,0,0,0
P20,8/11/2020,Dix,1,9,2,0,0,0,2,0,3,0,0,0
P21,8/11/2020,Allerton,4,4,2,1,0,0,2,0,2,0,2,0
P22,8/11/2020,Allerton,2,2,2,0,0,0,6,0,0,0,0,0
P23,8/11/2020,Rec,1,6,1,0,0,0,2,0,0,0,1,0
P24,8/26/2020,Dix,0,3,4,0,0,0,1,0,0,0,1,0
P25,8/26/2020,Dix,0,2,3,0,0,0,2,0,0,0,0,0
P26,8/26/2020,Allerton,1,4,9,0,0,0,4,0,0,0,4,0
P27,8/26/2020,Allerton,0,5,6,0,0,0,4,0,0,0,2,0
P28,8/26/2020,Rec,0,1,0,0,0,0,0,0,0,0,0,0
P29,8/26/2020,Rec,1,15,1,0,0,0,0,0,0,0,1,0
P30,9/7/2020,Dix,2,3,0,0,0,0,2,0,0,0,0,0
P31,9/7/2020,Dix,1,0,2,0,0,0,2,0,0,0,0,0
P32,9/7/2020,Allerton,0,4,0,0,0,0,2,0,4,0,1,0
P33,9/7/2020,Allerton,2,3,4,2,0,0,5,0,2,0,0,0
P34,9/7/2020,Rec,1,0,0,0,1,0,2,0,1,0,0,0
P35,9/7/2020,Rec,1,8,1,1,0,0,9,0,0,0,0,0
P36,9/23/2020,Dix,5,1,1,0,0,0,1,0,4,0,0,0
P37,9/23/2020,Dix,0,4,1,0,0,0,1,0,0,0,0,0
P38,9/23/2020,Allerton,0,1,0,0,0,0,0,0,0,0,0,0
P39,9/23/2020,Allerton,0,0,1,0,0,0,1,0,0,0,0,0
P40,9/23/2020,Rec,0,1,0,0,0,0,0,0,0,0,0,0
P41,9/23/2020,Rec,0,0,0,1,0,0,0,0,1,0,0,0
