,,Date,Rabigus,Stenus,Meronera,Acrotona,Xantholinus
Dix,J1,7.1.2020,0,0,0,1,0
Allerton,R17,7.27.2020,0,1,1,0,0
Allerton,J41,9.23.2020,0,0,0,1,0
Allerton,R18,7.27.2020,0,0,1,0,0
Dix,R28,8.26.2020,0,0,0,1,0
Allerton,R30,8.26.2020,0,0,1,0,0
Allerton,R29,8.26.2020,0,0,0,1,0
Allerton,R12,7.15.2020,0,0,0,1,0
Dix,R9,7.15.2020,1,0,0,0,0
Allerton,J36,9.7.2020,0,0,0,1,0
Allerton,J29,8.26.2020,0,0,1,0,0
Allerton,P15,7.27.2020,0,0,1,0,0
Allerton,P33,9.7.2020,0,0,1,0,0
Dix,C22,8.11.2020,0,0,1,0,0
Dix,C33,9.7.2020,0,0,0,0,1
