Sample,Date,Site,Long-legged fly,Syrphidae,Diptera <0.5/= cm,Diptera >0.5 cm,Formicidae,Apoidea,Ichneumonoidea,Chalcidoidea,Wingless parasitoid,Pompilidae,Other wasp,Miridae,Cicadellidae,Membracidae,Aphididae,Aleyrodidae,Hemiptera nymph,Orius ,Ceropidae,Nabidae,Alydidae,Derbidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Small unknown coleoptera,Buprestidae,Elateridae,Micro Lepidoptera,Macro Lepidoptera,Orthoptera,Mollusca,Araneae,Thysanoptera,Collembola,Psocidae,Acarina,Larva,Caterpillar,Earthworm,Hemerobidae,Zygoptera
C1,7/1/2020,Dix,5,0,26,3,0,0,3,7,0,0,0,0,2,0,3,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,139,0,0,0,0,0,0,0,0
C2,7/1/2020,Dix,3,0,31,3,1,0,2,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,110,0,0,0,0,0,0,0,0
C5,7/1/2020,Allerton,12,1,73,4,0,0,9,7,0,0,0,0,2,2,11,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,43,0,0,1,0,0,0,0,0
C6,7/1/2020,Allerton,8,4,65,5,0,0,5,13,0,0,0,0,2,3,6,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0,0
C7,7/1/2020,Rec,3,0,25,2,0,0,1,4,0,0,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,86,0,0,0,0,0,0,0,0
C8,7/1/2020,Rec,7,0,37,4,0,0,0,3,0,0,0,0,3,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
C9,7/15/2020,Dix,0,5,16,3,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,0,0,0,0,0
C10,7/15/2020,Dix,1,1,16,3,0,0,0,3,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,0,0,0
C11,7/15/2020,Allerton,8,1,59,7,0,0,1,8,0,0,0,0,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,32,0,1,0,0,0,0,0,0
C12,7/15/2020,Allerton,5,3,67,3,0,0,5,10,0,0,0,0,17,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0
C13,7/15/2020,Rec,1,0,17,4,0,0,1,6,0,0,0,0,6,0,11,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,58,0,1,0,0,0,0,0,0
C14,7/15/2020,Rec,2,0,32,1,0,0,1,6,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0
C15,7/27/2020,Dix,8,0,38,1,0,1,1,2,0,0,0,0,14,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0
C16,7/27/2020,Dix,5,0,21,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
C17,7/27/2020,Allerton,4,0,61,2,0,0,0,5,0,0,0,0,21,0,3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0
C18,7/27/2020,Allerton,4,1,98,4,0,0,2,6,0,0,0,0,17,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,36,0,1,1,0,0,0,0,0
C19,7/27/2020,Rec,0,0,15,0,0,0,0,9,0,0,0,0,3,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0
C20,7/27/2020,Rec,0,0,15,2,1,0,0,9,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,0,0,0
