Trap,Formicidae,Wingless parasitoid,Araneae,Collembola,Acarina
ramp,3,0,4,16,2
ramp,14,0,13,48,13
ramp,1,4,5,49,5
ramp,4,2,1,30,7
ramp,7,3,3,53,2
ramp,3,3,0,8,0
ramp,5,2,12,5,3
ramp,34,1,5,8,0
ramp,3,0,5,12,0
ramp,6,4,8,47,3
ramp,34,3,3,15,0
ramp,56,2,2,17,0
ramp,96,1,33,29,6
ramp,25,0,24,22,2
ramp,7,1,16,74,3
ramp,12,4,16,74,7
ramp,20,0,6,16,0
ramp,12,1,3,9,0
ramp,5,1,53,22,8
ramp,11,0,32,15,10
ramp,33,1,9,35,5
ramp,8,5,19,20,21
ramp,1,1,0,1,0
ramp,9,2,7,10,5
ramp,24,1,8,3,7
ramp,3,2,12,8,6
ramp,9,2,10,10,26
ramp,5,1,8,4,29
ramp,61,4,2,0,0
ramp,30,2,1,0,0
ramp,2,3,12,5,9
ramp,3,0,5,6,4
ramp,0,6,12,17,7
ramp,2,2,4,30,15
ramp,6,0,3,4,0
ramp,3,1,0,0,2
ramp,2,0,7,4,2
ramp,1,0,3,1,6
ramp,1,0,4,4,6
ramp,1,1,4,3,3
ramp,12,0,2,8,0
ramp,5,0,5,6,1
sticky,0,0,0,0,0
sticky,1,0,2,0,0
sticky,0,0,0,0,1
sticky,0,0,0,0,1
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,2,0,0
sticky,0,0,0,0,0
sticky,0,0,1,0,0
sticky,0,0,0,0,0
sticky,0,0,1,0,0
sticky,0,0,0,0,0
sticky,0,0,0,1,0
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,0,0,1
sticky,0,0,0,0,0
sticky,1,0,1,0,0
sticky,0,0,2,1,0
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,0,1,2
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,1,0,0
sticky,0,0,3,0,0
sticky,0,0,2,0,0
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,1,0,0
sticky,0,0,0,0,0
sticky,0,0,1,0,0
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,0,0,0
sticky,0,0,1,0,0
sticky,0,1,1,0,0
sticky,0,0,1,0,0
sticky,0,0,1,0,0
sticky,2,0,0,0,0
pitfall,2,0,2,4,1
pitfall,2,0,1,2,0
pitfall,1,0,4,9,0
pitfall,1,0,5,9,1
pitfall,6,1,1,2,1
pitfall,9,0,3,0,0
pitfall,1,0,1,2,0
pitfall,13,0,4,11,1
pitfall,16,0,2,1,1
pitfall,5,3,0,3,0
pitfall,2,0,1,1,0
pitfall,10,1,2,5,2
pitfall,4,1,12,14,1
pitfall,3,0,5,0,1
pitfall,44,2,2,0,0
pitfall,1,0,0,1,0
pitfall,4,2,6,0,0
pitfall,8,1,2,3,0
pitfall,4,0,2,2,2
pitfall,0,1,6,0,0
pitfall,6,0,2,0,1
pitfall,2,1,1,0,1
pitfall,1,1,2,0,0
pitfall,0,3,4,0,4
pitfall,2,2,4,0,2
pitfall,1,0,0,0,0
pitfall,15,0,0,0,1
pitfall,2,1,2,0,0
pitfall,0,0,2,0,0
pitfall,3,0,2,4,1
pitfall,3,0,5,2,0
pitfall,0,0,2,1,0
pitfall,7,0,9,0,0
pitfall,1,0,1,4,0
pitfall,3,0,1,0,0
pitfall,1,0,0,0,0
pitfall,0,0,1,0,0
pitfall,1,0,0,0,0
pitfall,0,0,0,1,0
jar,6,0,1,0,1
jar,2,0,2,0,1
jar,0,0,1,4,0
jar,0,0,0,9,0
jar,4,0,0,3,0
jar,3,0,0,7,4
jar,9,3,1,2,0
jar,3,2,2,0,0
jar,2,3,2,1,4
jar,1,1,1,4,0
jar,12,0,2,1,0
jar,3,5,0,2,0
jar,9,0,14,7,0
jar,18,0,17,1,0
jar,1,3,9,3,0
jar,2,1,5,4,0
jar,14,0,3,0,0
jar,9,0,1,1,0
jar,5,0,53,0,0
jar,7,0,14,0,0
jar,0,1,11,0,0
jar,1,0,5,1,1
jar,4,0,1,0,0
jar,1,0,2,1,0
jar,8,0,8,0,1
jar,2,1,22,0,2
jar,8,3,6,0,2
jar,4,0,3,0,0
jar,17,1,2,0,0
jar,64,0,0,0,0
jar,0,0,4,0,1
jar,3,1,3,1,1
jar,1,0,1,0,0
jar,0,1,3,0,0
jar,5,0,1,0,0
jar,21,1,2,0,0
jar,2,0,2,1,1
jar,1,0,4,0,0
jar,1,3,6,1,0
jar,0,1,0,5,2
jar,6,0,2,0,0
jar,10,0,2,0,0
