Trap,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying,flying
sticky,5,0,26,3,0,3,7,0,0,0,2,0,7,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,139,0,0
sticky,3,0,31,3,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0
sticky,12,1,73,4,0,9,7,0,0,0,2,2,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,0,0
sticky,8,4,65,5,0,5,13,0,0,0,2,3,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,50,0,0
sticky,3,0,25,2,0,1,4,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,86,0,0
sticky,7,0,37,4,0,0,3,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
sticky,0,5,16,3,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,0,0
sticky,1,1,16,3,0,0,3,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0
sticky,8,1,59,7,0,1,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,1,0
sticky,5,3,67,3,0,5,10,0,0,0,17,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40,1,0
sticky,1,0,17,4,0,1,6,0,0,0,6,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,1,0
sticky,2,0,32,1,0,1,6,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,1,0
sticky,8,0,38,1,1,1,2,0,0,0,14,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,51,0,0
sticky,5,0,21,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
sticky,4,0,61,2,0,0,5,0,0,0,21,0,20,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,42,0,0
sticky,4,1,98,4,0,2,6,0,0,0,17,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,36,1,0
sticky,0,0,15,0,0,0,9,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1,0
sticky,0,0,15,2,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18,0,0
sticky,0,1,52,3,0,0,6,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,5,0,0,0,12,0,0
sticky,1,0,46,0,1,1,10,0,0,0,3,0,5,0,0,0,0,0,3,0,1,1,0,0,3,1,0,0,34,1,0
sticky,3,0,21,4,0,3,6,0,0,0,0,0,2,0,0,0,0,0,3,0,1,3,0,0,0,0,1,0,15,1,0
sticky,0,0,26,4,0,0,6,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0
sticky,2,0,75,3,0,4,21,0,0,0,8,0,17,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,18,0,0
sticky,10,0,93,2,0,0,11,0,0,0,6,0,12,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,19,0,0
sticky,0,0,19,1,0,7,6,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,5,0,0
sticky,1,0,29,0,0,2,9,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,14,0,0
sticky,6,0,31,1,0,3,19,0,0,0,3,0,5,0,0,0,0,0,28,0,3,8,0,0,0,0,1,0,12,0,0
sticky,7,0,29,0,0,5,12,0,0,0,2,0,3,0,0,0,0,0,32,0,0,9,0,0,0,0,1,0,10,2,0
sticky,0,0,11,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,1,0
sticky,1,0,14,0,0,2,7,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,8,4,0
sticky,0,1,5,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0
sticky,0,0,4,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
sticky,0,0,37,3,0,2,32,0,0,0,0,0,12,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,25,0,0
sticky,2,0,23,0,1,1,44,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
sticky,0,1,14,3,1,1,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
sticky,0,2,9,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0
sticky,2,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0
sticky,1,0,7,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0
sticky,1,0,8,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
sticky,1,0,13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sticky,0,0,16,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
sticky,0,0,21,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ramp,13,0,37,1,0,2,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0
ramp,4,0,19,2,0,0,19,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,94,0,0
ramp,19,0,48,1,0,3,12,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
ramp,15,1,64,0,0,1,11,0,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0
ramp,5,1,19,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0
ramp,5,0,12,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0
ramp,3,8,30,2,0,0,5,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
